Signal,Profit %,Run-up %,Drawdown %
SELL,0.0716,0.1658,-0.0102
BUY,-0.0262,0.0279,-0.0287
SELL,-0.0124,0.0483,-0.0239
BUY,-0.007,0.0246,-0.0143
SELL,0.0151,0.0528,-0.0096
BUY,0.324,0.3672,-0.0022
SELL,-0.0163,0.0314,-0.0194
BUY,0.0455,0.107,-0.0052
SELL,-0.0192,0.0034,-0.0197
BUY,0.0277,0.1056,-0.0143
SELL,0.0081,0.0456,-0.0221
BUY,0.0025,0.0303,-0.0032
SELL,-0.0138,0.0702,-0.0159
BUY,-0.0241,0.0001,-0.0351
SELL,-0.0039,0.0224,-0.0048
BUY,-0.0275,0.0024,-0.0318
SELL,-0.0289,0.0088,-0.0437
BUY,0.003,0.0436,-0.0015
SELL,0.0054,0.0305,-0.0252
BUY,0.0551,0.1243,-0.003
SELL,0.0022,0.0396,-0.0111
BUY,-0.0094,0.0043,-0.0124
SELL,-0.017,0.0044,-0.0191
BUY,-0.0169,0.0012,-0.0185
SELL,-0.0079,0.0078,-0.0094
BUY,-0.0006,0.027,-0.0041
SELL,0.0792,0.1385,-0.0013
BUY,-0.0142,0.0062,-0.0146
SELL,-0.0107,0.0001,-0.0107
BUY,-0.0102,0.0022,-0.0119
SELL,-0.0095,0.0005,-0.0113
BUY,-0.0097,0.0144,-0.0106
SELL,0.0187,0.0565,-0.0173
BUY,-0.0007,0.0332,-0.0029
SELL,0.029,0.0727,-0.0007
BUY,0.0075,0.061,-0.0026
SELL,-0.0127,0.0021,-0.02
BUY,-0.0045,0.0121,-0.0069
SELL,0.0936,0.2752,-0.0014
BUY,-0.0243,0.011,-0.0263
SELL,-0.0127,0.0302,-0.0189
BUY,-0.0231,0.0087,-0.0263
SELL,0.0045,0.0576,-0.0147
BUY,-0.0167,0.0282,-0.017
SELL,0.0063,0.0604,-0.0156
BUY,-0.0144,0.0103,-0.0154
SELL,-0.0236,0.0206,-0.0355
BUY,-0.015,0.0163,-0.0169
SELL,0.0019,0.0526,-0.0089
BUY,-0.0165,0.0043,-0.0161
SELL,-0.0123,0.0056,-0.0144
BUY,-0.0211,0.0145,-0.0286
SELL,-0.014,0.0229,-0.0193
BUY,0.0172,0.048,-0.0014
SELL,-0.0112,0,-0.0143
BUY,0.028,0.0656,-0.0037
SELL,-0.0164,0.0133,-0.0211
BUY,-0.0108,0.0254,-0.0132
SELL,0.0475,0.0878,-0.0029
BUY,-0.0098,0.0139,-0.0102
SELL,-0.0012,0.038,-0.0023
BUY,-0.013,0.0095,-0.0151
SELL,-0.0198,0.0009,-0.0213
BUY,-0.014,0.0042,-0.0241
SELL,-0.0063,0,-0.0063
BUY,-0.0099,0.0009,-0.0116
SELL,-0.0003,0.0274,-0.0127
BUY,-0.0094,0.012,-0.0096
SELL,-0.0041,0.0224,-0.0111
BUY,-0.0449,0.002,-0.054
SELL,0.0535,0.0926,-0.0038
BUY,-0.0107,0.0124,-0.0109
SELL,-0.0101,0.0046,-0.0107
BUY,-0.0102,0.0001,-0.0117
SELL,-0.0119,0.0523,-0.0142
BUY,-0.0156,0.0093,-0.0159
SELL,-0.021,0.0082,-0.0206
BUY,0.005,0.0453,-0.0049
SELL,-0.0069,0.022,-0.0091
BUY,-0.0093,0.0191,-0.0102
SELL,-0.0174,0,-0.0196
BUY,-0.0098,0.0038,-0.0097
SELL,0.0097,0.0376,-0.0082
BUY,-0.0193,0.0017,-0.0217
SELL,-0.0201,0.0129,-0.0212
BUY,-0.0132,0.0003,-0.0159
SELL,-0.0106,0.0097,-0.0122
BUY,-0.0261,0.0259,-0.0259
SELL,0.0984,0.2027,-0.0055
BUY,-0.0363,0.0454,-0.0402
SELL,-0.0272,0.01,-0.0274
BUY,-0.0058,0.0098,-0.0088
SELL,-0.0119,0.0299,-0.0228
BUY,-0.007,0.0451,-0.0119
SELL,-0.0244,0.0049,-0.0294
BUY,-0.0008,0.0423,-0.0027
SELL,0.0028,0.0377,-0.0033
BUY,0.1572,0.221,-0.0075
SELL,0.0191,0.0443,-0.0103
BUY,-0.0102,0.0044,-0.0116
SELL,-0.0132,0.0096,-0.0128
BUY,0.0158,0.0476,-0.0078
SELL,0.108,0.1635,-0.0015
BUY,-0.018,0.0135,-0.0193
SELL,-0.0098,0.0979,-0.0518
BUY,-0.0021,0.0499,-0.0174
SELL,-0.0096,0.0037,-0.0107
BUY,-0.0297,0.0296,-0.0316
SELL,-0.0601,0.0163,-0.0612
BUY,0.0676,0.139,-0.0058
SELL,0.0735,0.1167,-0.0046
BUY,-0.0412,0.0005,-0.0419
SELL,-0.0384,0.0166,-0.0416
BUY,0.025,0.085,-0.0023
SELL,0.0072,0.0491,-0.0018
BUY,-0.0311,0.0078,-0.033
SELL,-0.0108,0.0293,-0.02
BUY,-0.0073,0.005,-0.0125
SELL,-0.0045,0.0103,-0.0066
BUY,-0.0167,0.0238,-0.0229
SELL,-0.0185,0.0022,-0.0192
BUY,0.0498,0.0867,-0.0056
SELL,-0.0082,0.0133,-0.0137
BUY,0.0114,0.0501,-0.0111
SELL,-0.0062,0.001,-0.0063
BUY,0.1015,0.146,-0.0042
SELL,0.0003,0.0453,-0.0097
BUY,-0.0099,0.0199,-0.0151
SELL,-0.013,0.0069,-0.0155
BUY,-0.0133,0.0221,-0.015
SELL,-0.0111,0.0154,-0.012
BUY,-0.0096,0.0187,-0.0111
SELL,0.0996,0.1462,-0.0057
BUY,-0.0205,0.0063,-0.0244
SELL,0.0062,0.0495,-0.0095
BUY,0.0241,0.0681,-0.0004
SELL,0.0314,0.0735,-0.0026
BUY,-0.0159,0.0224,-0.0171
SELL,-0.0022,0.0404,-0.0049
BUY,-0.02,0.0015,-0.0215
SELL,-0.0216,0.0029,-0.0229
BUY,-0.0114,0.0123,-0.0133
SELL,-0.02,0.0011,-0.0354
BUY,-0.0153,0.0158,-0.0167
SELL,0.011,0.0447,-0.0071
BUY,-0.0148,0.0121,-0.0164
SELL,-0.0148,0.0163,-0.0204
BUY,-0.0129,0.0345,-0.0151
SELL,0.2094,0.3382,-0.0007
BUY,-0.0259,0.0406,-0.0289
SELL,-0.0196,0.0136,-0.0271
BUY,-0.0059,0.0009,-0.0066
SELL,-0.0053,0.0022,-0.0123
BUY,-0.0037,0.004,-0.0036
SELL,-0.0103,0.0002,-0.0112
BUY,-0.0207,0.019,-0.0256
SELL,-0.0329,0.0021,-0.0361
BUY,-0.0228,0.0048,-0.0241
SELL,0.0033,0.0407,-0.0076
BUY,-0.0097,0.0342,-0.0118
SELL,-0.0232,0.0259,-0.0252
BUY,-0.031,0.0172,-0.0334
SELL,-0.0205,0.0192,-0.0222
BUY,-0.0219,0.0152,-0.0215
SELL,-0.0079,0.0399,-0.0217
BUY,0.0453,0.1035,-0.0107
SELL,0.0018,0.0464,-0.0004
BUY,-0.0221,0.0011,-0.0235
SELL,-0.0296,0.0238,-0.0318
BUY,-0.0311,0.0289,-0.034
SELL,-0.0399,0.0249,-0.0509
BUY,-0.0291,0.016,-0.0405
SELL,-0.0192,0.0047,-0.0233
BUY,-0.0189,0.0006,-0.0204
SELL,0.3161,0.4176,-0.0168
BUY,-0.0171,0.052,-0.0496
SELL,-0.0249,0.0175,-0.0288
BUY,-0.0358,0.0039,-0.0378
SELL,-0.0234,0.0146,-0.0254
BUY,-0.0079,0.0039,-0.0086
SELL,-0.009,0.0099,-0.0143
BUY,-0.0381,0.0651,-0.0385
SELL,-0.0204,0.0601,-0.0585
BUY,0.0378,0.1175,-0.0437
SELL,0.0394,0.0969,-0.0118
BUY,0.1295,0.2083,-0.0242
SELL,-0.0142,0.0022,-0.0175
BUY,-0.0248,0.0025,-0.0267
SELL,-0.0475,0.0045,-0.0471
BUY,-0.0549,0.0109,-0.0549
SELL,-0.0162,0.068,-0.0359
BUY,0.0201,0.0934,-0.0004
SELL,-0.016,0.0173,-0.0208
BUY,-0.018,0.0021,-0.0183
SELL,-0.0294,0.0256,-0.0297
