Signal,Profit %,Run-up %,Drawdown %
SELL,-0.0346,0.011,-0.0351
BUY,0.1552,0.273,-0.0352
SELL,-0.0305,0.088,-0.0339
BUY,0.0149,0.0911,-0.0128
SELL,-0.0307,0.0126,-0.0306
BUY,-0.0727,0.0261,-0.0726
SELL,-0.1165,0.0108,-0.1173
BUY,0.149,0.2285,-0.0085
SELL,-0.0317,0.0379,-0.0339
BUY,-0.0183,0.0245,-0.0295
SELL,-0.0342,0.0052,-0.0346
BUY,-0.035,0.0131,-0.052
SELL,-0.0146,0.0134,-0.0189
BUY,0.1264,0.2167,-0.0143
SELL,-0.032,0.0028,-0.0349
BUY,0.3211,0.5504,-0.0004
SELL,0.0869,0.1963,-0.1204
BUY,-0.0104,0.007,-0.0145
SELL,-0.0103,0.0449,-0.0105
BUY,-0.0478,0.0649,-0.0587
SELL,-0.0662,0.0617,-0.0686
BUY,0.0023,0.1656,-0.0369
SELL,-0.0367,0.0337,-0.0367
BUY,-0.0286,0.0061,-0.04
SELL,-0.0144,0.0029,-0.0187
BUY,0.5329,0.7181,-0.0142
SELL,0.0136,0.1752,-0.0536
BUY,0.0816,0.2023,-0.1006
SELL,-0.0568,0.0438,-0.0812
BUY,-0.0158,0.0197,-0.017
SELL,0.0491,0.1283,-0.0104
BUY,0.0694,0.0981,-0.0187
SELL,-0.0061,0.0062,-0.0057
BUY,-0.0071,0.0114,-0.0071
SELL,0.0011,0.0387,-0.0062
BUY,-0.0173,0.0153,-0.0211
SELL,-0.0026,0.0385,-0.0172
BUY,0.0671,0.1236,-0.0063
SELL,-0.0076,0.0265,-0.014
BUY,-0.0062,0.0054,-0.0073
SELL,0.1523,0.2403,-0.0025
BUY,0.0071,0.0782,-0.0065
SELL,-0.0304,0.0075,-0.034
BUY,0.0392,0.0858,-0.005
SELL,0.3491,0.4892,-0.056
BUY,0.0204,0.0724,-0.0314
SELL,-0.0041,0.0525,-0.0064
BUY,-0.037,0.006,-0.0471
SELL,-0.011,0.041,-0.014
BUY,-0.0153,0.0023,-0.0168
SELL,-0.012,0.0077,-0.0124
BUY,-0.0066,0.0004,-0.0087
SELL,-0.002,0.1469,-0.0125
BUY,-0.0246,0.0562,-0.0273
SELL,-0.0148,0.0256,-0.0191
BUY,0.0877,0.1462,-0.0022
SELL,-0.0039,0.0296,-0.0124
BUY,-0.016,0.0059,-0.0175
SELL,0.0993,0.2568,-0.0104
BUY,-0.0423,0.0174,-0.0429
SELL,-0.0216,0.0979,-0.0276
BUY,0.0129,0.0728,-0.0074
SELL,-0.0141,0.0149,-0.0181
BUY,-0.0165,0,-0.0177
SELL,-0.0011,0.0525,-0.0059
BUY,0.0005,0.0421,-0.0069
SELL,-0.0031,0.041,-0.006
BUY,-0.0139,0.0139,-0.0162
SELL,-0.0039,0.0192,-0.0101
BUY,-0.0098,0.0233,-0.0132
SELL,0.0108,0.055,-0.0004
BUY,-0.0126,0.0317,-0.0169
SELL,0.0062,0.0482,-0.0052
BUY,-0.0104,0.0065,-0.0156
SELL,0.0586,0.1027,-0.0015
BUY,0.261,0.3325,-0.0021
SELL,-0.0174,0.0098,-0.0172
BUY,0.0293,0.0818,-0.0028
SELL,0.0353,0.0765,-0.0006
BUY,-0.0066,0.0218,-0.007
SELL,-0.0115,0.0403,-0.0127
BUY,0.1497,0.191,-0.0194
SELL,-0.0085,0.0307,-0.0122
BUY,0.0195,0.0598,-0.0006
SELL,-0.0062,0.0213,-0.0102
BUY,-0.0072,0.0287,-0.0091
SELL,-0.0003,0.0536,-0.0169
BUY,0.0548,0.0891,-0.0006
SELL,-0.0067,0,-0.0076
BUY,-0.0026,0.012,-0.0036
SELL,0.0065,0.0415,-0.0048
BUY,-0.015,0.011,-0.0151
SELL,-0.0014,0.0381,-0.0035
BUY,0.0016,0.0315,-0.0034
SELL,-0.0096,0.0099,-0.0121
BUY,-0.0062,0.0147,-0.0069
SELL,-0.0028,0.0208,-0.0063
BUY,-0.0189,0.0038,-0.0203
SELL,-0.0019,0.0224,-0.0141
BUY,-0.0088,0.0036,-0.0085
SELL,-0.0265,0,-0.0285
BUY,0.0477,0.0911,-0.0087
SELL,0.098,0.1693,-0.0075
BUY,-0.0178,0.0078,-0.0191
SELL,-0.0274,0.0039,-0.0316
BUY,-0.0244,0.0023,-0.0256
SELL,-0.0103,0.0406,-0.0383
BUY,0.0327,0.0625,-0.0004
SELL,-0.0143,0.0003,-0.0147
BUY,-0.0133,0.0074,-0.014
SELL,-0.0099,0,-0.0103
BUY,-0.0154,0.0017,-0.0194
SELL,-0.0163,0.0028,-0.0165
BUY,-0.0078,0.0241,-0.0108
