Type,Profit,Run up,Drawdown
BUY,0.003,0.0304,-0.0025
SELL,0.002,0.0738,-0.0121
BUY,-0.0148,0.0171,-0.0294
SELL,-0.0157,0.0041,-0.0153
BUY,-0.011,0.0068,-0.0126
SELL,-0.0072,0.0211,-0.0078
BUY,-0.0301,0,-0.0346
SELL,-0.027,0.0073,-0.0443
BUY,0.0052,0.045,-0.0009
SELL,-0.0035,0.0281,-0.0264
BUY,0.0462,0.1147,-0.0085
SELL,0.0036,0.0391,-0.0108
BUY,-0.0062,0.0074,-0.006
SELL,-0.0161,0.0066,-0.0173
BUY,-0.0181,0.0003,-0.019
SELL,-0.0088,0.0072,-0.01
BUY,0.0034,0.0264,-0.0046
SELL,0.0987,0.1421,-0.0008
BUY,-0.0098,0.0061,-0.0118
SELL,-0.0271,0.0107,-0.0282
BUY,-0.0144,0.0064,-0.016
SELL,-0.0218,0,-0.0221
BUY,-0.0221,0.0023,-0.0225
SELL,0.0084,0.056,-0.0189
BUY,-0.0191,0.0232,-0.0237
SELL,0.0349,0.0677,-0.0007
BUY,0.0229,0.0766,-0.0018
SELL,-0.0118,0.0014,-0.0145
BUY,-0.007,0.0009,-0.0063
SELL,-0.0084,0.0003,-0.0151
BUY,-0.0128,0.0123,-0.0133
SELL,0.0877,0.2741,-0.0023
BUY,-0.0419,0.0118,-0.0424
SELL,-0.032,0.0134,-0.039
BUY,-0.0293,0.0096,-0.0322
SELL,-0.002,0.0509,-0.018
BUY,-0.0172,0.029,-0.0205
SELL,0.0049,0.062,-0.0161
BUY,-0.0152,0.0104,-0.0185
SELL,-0.0249,0.0209,-0.0369
BUY,-0.0157,0.0161,-0.0209
SELL,0.0167,0.0558,-0.0097
BUY,-0.0036,0.0208,-0.007
SELL,-0.0065,0.0023,-0.0061
BUY,-0.0138,0.0232,-0.0184
SELL,-0.0144,0.0249,-0.0216
BUY,0.0186,0.048,-0.0023
SELL,-0.0125,0.0034,-0.0136
BUY,0.0323,0.0653,-0.0071
SELL,-0.0085,0.0216,-0.0125
BUY,-0.0101,0.026,-0.014
SELL,0.0481,0.089,-0.0031
BUY,-0.0073,0.0003,-0.0075
SELL,-0.0077,0.0174,-0.0101
BUY,-0.0091,0.0141,-0.0094
SELL,-0.001,0.0381,-0.0023
BUY,-0.0129,0.009,-0.0147
SELL,-0.0195,0.0004,-0.0209
BUY,-0.0155,0.0044,-0.0249
SELL,0.0035,0.0287,-0.0112
BUY,-0.0077,0.0126,-0.0079
SELL,-0.0031,0.022,-0.0037
BUY,-0.0103,0.0084,-0.0162
SELL,-0.0117,0.0014,-0.0138
BUY,-0.0449,0.0015,-0.0546
SELL,0.0578,0.0922,-0.0047
BUY,-0.0035,0.006,-0.0046
SELL,-0.0172,0,-0.02
BUY,-0.0199,0.0034,-0.0194
SELL,-0.0091,0.0508,-0.0105
BUY,-0.0097,0.0128,-0.0112
SELL,-0.0175,0.0114,-0.0169
BUY,0.0049,0.0462,-0.0049
SELL,-0.0067,0.0223,-0.0084
BUY,-0.0044,0.0168,-0.0058
SELL,-0.0216,0.0053,-0.0231
BUY,-0.0251,0,-0.0256
SELL,0.0055,0.031,-0.0072
BUY,-0.0169,0.0062,-0.0194
SELL,-0.0116,0.0128,-0.0138
BUY,-0.0047,0.0092,-0.0072
SELL,-0.0102,0.009,-0.0117
BUY,-0.0259,0.0258,-0.0275
SELL,0.1236,0.203,-0.0077
BUY,-0.0095,0.0747,-0.015
SELL,-0.0294,0.0099,-0.0317
BUY,-0.0082,0.0088,-0.0116
SELL,-0.0131,0.0286,-0.0246
BUY,-0.0072,0.0457,-0.0131
SELL,-0.0239,0.0048,-0.0288
BUY,-0.0001,0.0415,-0.0015
SELL,0.0037,0.0393,-0.0037
BUY,0.1615,0.2121,-0.0062
SELL,-0.0422,0.0103,-0.0498
BUY,-0.0548,0.0106,-0.0633
SELL,0.0078,0.0323,-0.0214
BUY,-0.0122,0.0052,-0.0195
SELL,-0.0154,0,-0.0153
BUY,0.0189,0.0479,-0.009
SELL,0.1239,0.1663,-0.0099
BUY,-0.0031,0.0283,-0.0036
SELL,-0.0083,0.0998,-0.0514
BUY,-0.001,0.0507,-0.0159
SELL,-0.0125,0.0039,-0.0147
BUY,-0.0056,0.0282,-0.0095
SELL,-0.0321,0.043,-0.0333
BUY,0.0859,0.1394,-0.0065
SELL,-0.0081,0.0042,-0.0076
BUY,-0.012,0.0109,-0.0146
SELL,0.0938,0.1278,-0.002
BUY,-0.0117,0.013,-0.0129
SELL,-0.0123,0.0371,-0.0197
BUY,0.0295,0.0937,-0.0008
SELL,0.0064,0.0495,-0.0044
BUY,-0.0315,0.0078,-0.0342
SELL,-0.0105,0.0298,-0.0198
BUY,-0.0115,0.0048,-0.0133
SELL,-0.0089,0.0058,-0.0109
BUY,-0.0084,0.0241,-0.0124
SELL,-0.0096,0.0144,-0.0099
BUY,0.0509,0.0864,-0.0071
SELL,-0.0228,0.0131,-0.0226
BUY,-0.0037,0.036,-0.0059
SELL,-0.0074,0.002,-0.0072
BUY,0.1125,0.1446,-0.006
SELL,-0.0108,0.0006,-0.0131
BUY,-0.0086,0.0072,-0.0101
SELL,-0.0085,0.0028,-0.008
BUY,-0.021,0.0055,-0.0239
SELL,-0.004,0.0461,-0.0098
BUY,-0.0152,0.0152,-0.0197
SELL,-0.0126,0.0069,-0.012
BUY,-0.0097,0.0237,-0.0139
SELL,-0.0086,0.0195,-0.0095
BUY,-0.0098,0.0183,-0.0118
SELL,0.1138,0.1462,-0.0066
BUY,-0.0058,0.022,-0.0094
SELL,0.0132,0.0484,-0.0105
BUY,0.0262,0.0572,-0.0014
SELL,-0.0069,0,-0.0068
BUY,-0.0004,0.042,-0.0024
SELL,0.0419,0.0759,-0.0029
BUY,-0.0061,0.0337,-0.0069
SELL,-0.0028,0.0398,-0.0063
BUY,0.0006,0.0257,-0.0245
SELL,0.0172,0.0511,-0.0007
BUY,-0.0147,0.0147,-0.0177
SELL,-0.0149,0.0162,-0.021
BUY,-0.0131,0.0355,-0.015
SELL,0.2206,0.3048,-0.0007
BUY,-0.0108,0.0594,-0.0166
SELL,-0.026,0.0129,-0.0299
BUY,-0.0078,0.0195,-0.0098
SELL,-0.0087,0.0187,-0.0122
BUY,-0.0122,0.0156,-0.0136
SELL,0.0037,0.0408,-0.0073
BUY,-0.0093,0.0345,-0.0109
SELL,-0.0231,0.0257,-0.0251
BUY,-0.0314,0.0169,-0.0336
SELL,-0.02,0.0185,-0.0221
BUY,-0.0206,0.0144,-0.021
SELL,-0.0069,0.0419,-0.0215
BUY,0.0519,0.1048,-0.0102
SELL,0.008,0.052,-0.0017
BUY,-0.0361,0.0015,-0.0405
SELL,-0.0353,0.01,-0.0365
BUY,-0.0134,0.038,-0.0159
SELL,-0.0295,0.0351,-0.0411
BUY,-0.0286,0.017,-0.0404
SELL,-0.0197,0.0048,-0.0238
BUY,-0.0152,0.0003,-0.0187
SELL,-0.0059,0.0135,-0.0078
BUY,-0.0351,0.0068,-0.041
SELL,0.2979,0.4015,-0.0085
BUY,-0.0125,0.052,-0.0497
SELL,-0.0164,0.0227,-0.0184
BUY,-0.032,0.0077,-0.0345
SELL,-0.0227,0.018,-0.0245
BUY,-0.0183,0.0663,-0.0244
SELL,0.0169,0.0766,-0.0433
BUY,0.0571,0.1412,-0.0274
SELL,0.0404,0.0987,-0.0108
BUY,0.1287,0.2086,-0.0256
SELL,-0.0177,0.0144,-0.019
BUY,-0.0223,0.03,-0.0235
SELL,-0.0001,0.0828,-0.0191
BUY,0.0259,0.0946,-0.0007
SELL,-0.01,0.0218,-0.0149
BUY,-0.0182,0.0021,-0.0182
SELL,-0.0202,0.0118,-0.023
BUY,0.0073,0.0762,-0.0455
SELL,0.1221,0.2176,-0.0056
BUY,0.0227,0.101,-0.0066
SELL,0.0881,0.1451,-0.0035
BUY,-0.0196,0.0557,-0.0406
SELL,-0.0306,0.0252,-0.0381
BUY,-0.0386,0.0483,-0.0406
SELL,-0.059,0.0366,-0.0632
BUY,-0.0062,0.0808,-0.0627
SELL,0.0951,0.2167,-0.0471
BUY,-0.0354,0.0183,-0.0435
SELL,0.0271,0.0829,-0.0174
BUY,-0.0158,0.0268,-0.0243
SELL,-0.0158,0.02,-0.0182
BUY,-0.0573,0.0239,-0.063
SELL,-0.1165,0.0228,-0.1186
BUY,-0.0068,0.0418,-0.0105
SELL,-0.0428,0.0752,-0.0455
BUY,0.1403,0.1863,-0.0198
SELL,-0.0186,0.0115,-0.0196
BUY,0.0664,0.1251,-0.0007
SELL,-0.0286,0.001,-0.0296
BUY,-0.0541,0.0431,-0.0607
SELL,-0.0558,0.0314,-0.0556
BUY,0.0107,0.0881,-0.0013
SELL,-0.0159,0.0068,-0.0154
BUY,-0.0093,0.0018,-0.0109
SELL,-0.0318,0.0052,-0.0362
BUY,-0.0276,0.0365,-0.0316
SELL,0.1041,0.1767,-0.0367
BUY,0.2942,0.3596,-0.0081
SELL,-0.0201,0.0336,-0.0225
BUY,-0.0185,0.0256,-0.0279
SELL,-0.0224,0.0213,-0.0256
BUY,-0.0458,0,-0.0599
SELL,-0.0417,0.0097,-0.0438
BUY,-0.0101,0.043,-0.0181
SELL,-0.018,0.0193,-0.0407
