Type,Profit %,Run-up %,Drawdown %
SELL,-0.0159,0.0047,-0.0158
BUY,-0.0111,0.0086,-0.0124
SELL,-0.006,0.0214,-0.0074
BUY,-0.0283,0.0001,-0.0328
SELL,-0.0285,0.009,-0.0435
BUY,0.0034,0.0438,-0.0013
SELL,0.0058,0.0307,-0.025
BUY,0.0555,0.1245,-0.0028
SELL,0.0036,0.0398,-0.0109
BUY,-0.009,0.0054,-0.0125
SELL,-0.0176,0.0021,-0.0199
BUY,-0.0165,0.0014,-0.0183
SELL,-0.0075,0.008,-0.0092
BUY,0.0043,0.0272,-0.0039
SELL,0.0987,0.1425,-0.0004
BUY,-0.009,0.0062,-0.0115
SELL,-0.0258,0.0091,-0.0273
BUY,-0.0134,0.0064,-0.0153
SELL,-0.0091,0.0007,-0.0111
BUY,-0.0093,0.0146,-0.0104
SELL,0.0102,0.0567,-0.0171
BUY,-0.007,0.0241,-0.0175
SELL,0.0465,0.0751,-0.005
BUY,0.0235,0.0776,-0.0011
SELL,-0.0123,0.0023,-0.0198
BUY,-0.0124,0.0123,-0.0134
SELL,0.0899,0.2693,-0.0018
BUY,-0.0202,0.0151,-0.0224
SELL,-0.0123,0.0304,-0.0187
BUY,-0.0227,0.0089,-0.0261
SELL,0.0049,0.0578,-0.0145
BUY,-0.0163,0.0284,-0.0168
SELL,0.0067,0.0606,-0.0154
BUY,-0.014,0.0105,-0.0152
SELL,-0.0232,0.0208,-0.0353
BUY,-0.0146,0.0165,-0.0167
SELL,0.0167,0.0528,-0.0087
BUY,-0.0035,0.0193,-0.0074
SELL,-0.0054,0.0026,-0.0055
BUY,-0.0126,0.0231,-0.0203
SELL,-0.0136,0.0231,-0.0191
BUY,0.0191,0.0482,-0.0012
SELL,-0.0126,0.0037,-0.0139
BUY,0.025,0.0623,-0.0068
SELL,-0.016,0.0135,-0.0209
BUY,-0.0104,0.0256,-0.013
SELL,0.0485,0.088,-0.0027
BUY,-0.0065,0.0004,-0.0082
SELL,-0.0071,0.0177,-0.0088
BUY,-0.0094,0.0141,-0.01
SELL,-0.0008,0.0382,-0.0021
BUY,-0.0126,0.0097,-0.0149
SELL,-0.0194,0.0011,-0.0211
BUY,-0.0211,0.0044,-0.0239
SELL,-0.002,0.0237,-0.0167
BUY,-0.009,0.0141,-0.0088
SELL,-0.0077,0.0207,-0.0083
BUY,-0.0149,0.0051,-0.0189
SELL,-0.0129,0.0052,-0.0156
BUY,-0.0445,0.0022,-0.0538
SELL,0.0559,0.0928,-0.0036
BUY,-0.0082,0.0148,-0.0086
SELL,-0.0082,0.0048,-0.0087
BUY,-0.0124,0.0023,-0.0152
SELL,-0.0132,0.0486,-0.0139
BUY,-0.0127,0.012,-0.0133
SELL,-0.0206,0.0084,-0.0204
BUY,0.008,0.0455,-0.0047
SELL,-0.0039,0.0247,-0.0063
BUY,-0.0089,0.0193,-0.01
SELL,-0.017,0,-0.0194
BUY,-0.0094,0.004,-0.0095
SELL,0.0125,0.0378,-0.008
BUY,-0.0165,0.0073,-0.0191
SELL,-0.0134,0.0131,-0.0164
BUY,-0.0066,0.0075,-0.0095
SELL,-0.0102,0.0099,-0.012
BUY,-0.0257,0.0261,-0.0257
SELL,0.1241,0.2029,-0.0053
BUY,-0.008,0.0759,-0.014
SELL,-0.0268,0.0102,-0.0272
BUY,-0.0054,0.01,-0.0086
SELL,-0.0115,0.0301,-0.0226
BUY,-0.0066,0.0453,-0.0117
SELL,-0.024,0.0051,-0.0292
BUY,-0.0004,0.0425,-0.0025
SELL,0.0032,0.0379,-0.0031
BUY,0.1618,0.2209,-0.0073
SELL,-0.0414,0.0103,-0.0475
BUY,-0.0541,0.0094,-0.0628
SELL,0.0104,0.0334,-0.0218
BUY,-0.0075,0.0069,-0.0091
SELL,-0.0128,0.0098,-0.0126
BUY,0.0189,0.0478,-0.0076
SELL,0.1264,0.1659,-0.0104
BUY,-0.0088,0.0319,-0.0088
SELL,-0.0169,0.0901,-0.061
BUY,-0.0003,0.0516,-0.0158
SELL,-0.012,0.0039,-0.0135
BUY,-0.0066,0.027,-0.0077
SELL,-0.0327,0.0415,-0.034
BUY,0.0835,0.1392,-0.0056
SELL,-0.0094,0.0013,-0.0124
BUY,-0.0066,0.0014,-0.007
SELL,-0.0068,0.0042,-0.0072
BUY,-0.0108,0.0119,-0.0135
SELL,0.0945,0.1283,-0.0015
BUY,-0.0444,0.0132,-0.0472
SELL,-0.0473,0.0037,-0.0553
BUY,0.0298,0.0899,-0.0003
SELL,0.0076,0.0493,-0.0016
BUY,-0.0307,0.008,-0.0328
SELL,-0.0104,0.0295,-0.0198
BUY,-0.0113,0.0052,-0.0123
SELL,-0.0086,0.0061,-0.0109
BUY,-0.0163,0.024,-0.0227
SELL,-0.0181,0.0024,-0.019
BUY,0.0502,0.0869,-0.0054
SELL,-0.0078,0.0135,-0.0135
BUY,0.0118,0.0503,-0.0109
SELL,-0.0107,0.0012,-0.0108
BUY,0.1138,0.1407,-0.0087
SELL,-0.0084,0.013,-0.0085
BUY,-0.0104,0.0052,-0.0133
SELL,0.0113,0.0583,-0.0136
BUY,-0.0123,0.0173,-0.0176
SELL,-0.0126,0.0071,-0.0153
BUY,-0.0119,0.0223,-0.0148
SELL,-0.0096,0.0166,-0.0108
BUY,-0.0092,0.0189,-0.0109
SELL,0.1155,0.1464,-0.0055
BUY,-0.0028,0.0242,-0.0071
SELL,0.0066,0.0497,-0.0093
BUY,0.0185,0.0493,-0.0002
SELL,-0.0057,0.0006,-0.0061
BUY,0.006,0.0429,-0.0018
SELL,0.0375,0.0791,-0.0024
BUY,-0.0155,0.0226,-0.0169
SELL,-0.0018,0.0406,-0.0047
BUY,-0.0196,0.0017,-0.0213
SELL,-0.0162,0.0031,-0.021
BUY,-0.0061,0.0175,-0.0082
SELL,-0.0196,0.0013,-0.0352
BUY,-0.0149,0.016,-0.0165
SELL,0.0158,0.0449,-0.0069
BUY,-0.0099,0.0169,-0.0117
SELL,-0.0146,0.0024,-0.0202
BUY,-0.0091,0,-0.0142
SELL,-0.009,0.0217,-0.0102
BUY,-0.0125,0.0347,-0.0149
SELL,0.2098,0.3384,-0.0005
BUY,-0.0255,0.0408,-0.0287
SELL,-0.0192,0.0138,-0.0269
BUY,-0.0055,0.0011,-0.0064
SELL,-0.0049,0.0024,-0.0121
BUY,-0.0033,0.0042,-0.0034
SELL,-0.0099,0.0004,-0.011
BUY,-0.0203,0.0192,-0.0254
SELL,-0.0325,0.0023,-0.0359
BUY,-0.0224,0.005,-0.0239
SELL,0.0037,0.0409,-0.0074
BUY,-0.0093,0.0344,-0.0116
SELL,-0.0227,0.0261,-0.025
BUY,-0.0306,0.0174,-0.0332
SELL,-0.0166,0.0194,-0.022
BUY,-0.0181,0.0189,-0.0179
SELL,-0.0007,0.0401,-0.0215
BUY,0.0593,0.1112,-0.0038
SELL,0.0084,0.0524,-0.0011
BUY,-0.0217,0.0013,-0.0233
SELL,-0.0202,0.024,-0.0222
BUY,-0.0137,0.0381,-0.0148
SELL,-0.0306,0.0335,-0.0417
BUY,-0.0287,0.0162,-0.0403
SELL,-0.0188,0.0049,-0.0231
BUY,-0.0185,0.0008,-0.0202
SELL,0.3264,0.4178,-0.0166
BUY,-0.0124,0.0679,-0.0352
SELL,-0.0352,0.0026,-0.0393
BUY,-0.0166,0.0041,-0.0177
SELL,-0.0034,0.0337,-0.0056
BUY,-0.0075,0.0041,-0.0084
SELL,-0.0086,0.0101,-0.0141
BUY,-0.0377,0.0653,-0.0383
SELL,-0.0105,0.0603,-0.0583
BUY,0.0547,0.1283,-0.0344
SELL,0.0459,0.1028,-0.0052
BUY,0.0685,0.1338,-0.024
SELL,-0.0104,0.0009,-0.0125
BUY,0.0465,0.1192,-0.0058
SELL,-0.0224,0.0157,-0.0225
BUY,-0.0423,0.0241,-0.0426
SELL,-0.0158,0.0682,-0.0357
BUY,0.0321,0.0936,-0.0002
SELL,-0.0042,0.0286,-0.0092
BUY,-0.0176,0.0023,-0.0181
SELL,-0.029,0.0258,-0.0295
BUY,0.0026,0.0665,-0.0424
SELL,0.1268,0.2192,-0.0314
BUY,0.0302,0.1017,-0.0048
SELL,0.098,0.1521,-0.0074
BUY,-0.0155,0.0593,-0.0369
SELL,-0.0337,0.0251,-0.038
BUY,-0.0416,0.0454,-0.0425
SELL,-0.0729,0.0376,-0.0769
BUY,-0.0185,0.0673,-0.0289
SELL,0.1084,0.2176,-0.047
BUY,-0.0222,0.0324,-0.0295
SELL,0.0042,0.0792,-0.0172
BUY,-0.0422,0,-0.0427
SELL,-0.0227,0.0152,-0.0234
BUY,-0.0592,0.0205,-0.0637
SELL,-0.1814,0.0211,-0.2026
BUY,0.2059,0.2985,-0.0019
SELL,0.0021,0.0505,-0.0138
BUY,0.0563,0.1289,-0.002
SELL,0.1009,0.1758,-0.0398
BUY,0.1314,0.2468,-0.004
SELL,-0.0239,0.0084,-0.0239
BUY,0.1166,0.1554,-0.0106
