Type,Profit,Run up,Drawdown
SELL,0.0471,0.0876,-0.0031
BUY,-0.021,0.0137,-0.0207
SELL,-0.0127,0.0271,-0.0136
BUY,-0.0134,0.0093,-0.0153
SELL,-0.0106,0.0254,-0.0243
BUY,-0.0147,0.0037,-0.0149
SELL,-0.0027,0.0251,-0.0083
BUY,-0.0115,0,-0.011
SELL,0.0767,0.1245,-0.0043
BUY,-0.013,0.0013,-0.0148
SELL,-0.0032,0.0607,-0.0053
BUY,-0.0119,0.0091,-0.0119
SELL,-0.0172,0.0121,-0.0166
BUY,0.0072,0.0451,-0.0051
SELL,-0.0084,0.0243,-0.0142
BUY,-0.022,0.0152,-0.0235
SELL,-0.0069,0.0216,-0.0114
BUY,-0.0064,0.0015,-0.0078
SELL,-0.0069,0.0259,-0.0077
BUY,-0.0136,0.0001,-0.0161
SELL,-0.011,0.0095,-0.0124
BUY,-0.0265,0.0257,-0.0261
SELL,0.098,0.2025,-0.0057
BUY,-0.0369,0,-0.0369
SELL,-0.0096,0.0037,-0.019
BUY,-0.0093,0.0749,-0.0098
SELL,-0.0293,0.0098,-0.033
BUY,-0.0133,0.0079,-0.0157
SELL,-0.0127,0.0244,-0.0168
BUY,-0.0155,0.0157,-0.018
SELL,-0.0171,0.0042,-0.0183
BUY,-0.0036,0.0488,-0.0084
SELL,-0.0251,0.0047,-0.0293
BUY,-0.0016,0.0417,-0.0032
SELL,-0.0087,0.0375,-0.0095
BUY,0.1286,0.2073,-0.0187
SELL,0.0024,0.0311,-0.0243
BUY,0.0056,0.0474,-0.008
SELL,0.099,0.1552,-0.0074
BUY,-0.0184,0.0133,-0.0195
SELL,-0.0102,0.0977,-0.052
BUY,-0.0025,0.0497,-0.0176
SELL,-0.0084,0.0035,-0.0087
BUY,-0.0285,0.0311,-0.0302
SELL,-0.0381,0.0161,-0.0419
BUY,0.0901,0.1634,-0.0006
SELL,0.081,0.1261,-0.0048
BUY,0.0109,0.0895,-0.0007
SELL,-0.0109,0.032,-0.0198
BUY,-0.0308,0.0076,-0.0408
