Type,Profit,Run up,Drawdown
SELL	-0.0171	0.0218	-0.0175
BUY	-0.0193	0.009	-0.019
SELL	0.0042	0.34	-0.0214
BUY	-0.0265	0.0257	-0.0261
SELL	0.098	0.2025	-0.0057
BUY	-0.0367	0.0452	-0.0404
SELL	-0.0533	0.0098	-0.0554
BUY	-0.0258	0.0255	-0.0252
SELL	-0.0421	0.0047	-0.0438
BUY	-0.0178	0.0248	-0.0194
SELL	-0.0087	0.0375	-0.0095
BUY	0.1286	0.2073	-0.0187
SELL	-0.0145	0.0311	-0.0243
BUY	-0.0072	0.03	-0.0135
SELL	0.1025	0.1585	-0.0035
BUY	-0.0329	0.0133	-0.035
SELL	-0.0239	0.0842	-0.0678
BUY	-0.0214	0.0512	-0.0231
SELL	-0.0605	0.0161	-0.0614
BUY	0.0671	0.1388	-0.006
SELL	0.073	0.1261	-0.0048
BUY	0.0022	0.08	-0.0027
SELL	-0.0077	0.0493	-0.0198
BUY	0.034	0.0663	-0.0428
SELL	-0.0203	0.0171	-0.0201
BUY	0.1032	0.148	-0.0055
SELL	-0.0135	0.0451	-0.0198
BUY	-0.025	0.0019	-0.0283
SELL	-0.0211	0.0051	-0.0221
BUY	-0.0236	0.0158	-0.0256
SELL	-0.034	0.0111	-0.0344
BUY	-0.0276	0.003	-0.0288
SELL	0.0611	0.0823	-0.0059
BUY	-0.0168	0.0077	-0.0178
SELL	0.0242	0.0749	-0.0011
BUY	-0.0344	0.0061	-0.0339
SELL	-0.0211	0.0369	-0.0285
BUY	-0.0056	0.0533	-0.009
SELL	0.0083	0.059	-0.0068
BUY	-0.0241	0.0141	-0.0251
SELL	-0.0119	0.0402	-0.0142
BUY	-0.0241	0.016	-0.027
SELL	0.0017	0.0359	-0.0163
